step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
84,28128,672,0.14777067073917913,0.375,0.8870967741935484,,,
85,28584,680,0.14121785898100175,0.625,0.8913043478260869,,,
86,28912,688,0.16957053804417627,0.375,0.9056603773584906,,,
87,29368,696,0.11227858443630104,0.5,0.9322033898305084,,,
88,29568,704,0.1977721635028805,0.625,0.9142857142857143,,,
89,29832,712,0.13100676969326272,0.75,0.9710144927536232,,,
90,30160,720,0.2127754187516456,0.25,0.8431372549019608,,,
91,30424,728,0.17257415719666938,0.625,0.9433962264150944,,,
92,30624,736,0.22953960838387202,0.375,0.9122807017543859,,,
93,30824,744,0.3677754311427937,0.25,0.7777777777777778,,,
94,31088,752,0.17388311380778276,0.25,0.8703703703703703,,,
95,31352,760,0.25328964652543673,0.375,0.8478260869565217,,,
96,31744,768,0.11150049820497164,0.5,0.9130434782608695,,,
97,31944,776,0.18350437715198212,0.375,0.9166666666666666,,,
98,32336,784,0.13543251179253274,0.75,0.9302325581395349,,,
99,32600,792,0.1834817641938173,0.5,0.8888888888888888,0.13916656620418003,0.25,0.8292682926829268
